epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9925,1.49062,3.88448,1.48062,0.04563,0.54259,0.08708,0.05326,1.24476,3.55314,1.32,3.076e-05,3.076e-05,3.076e-05
2,43.3622,1.2672,3.56521,1.35646,0.0995,0.62222,0.21606,0.15435,0.84985,3.3033,1.08852,6.8068e-05,6.8068e-05,6.8068e-05
3,46.471,1.04394,2.71209,1.23432,0.25055,0.68021,0.40461,0.30639,0.77445,3.69265,0.96545,0.000104107,0.000104107,0.000104107
4,49.4151,1.01536,2.11754,1.16005,0.2701,0.65556,0.44754,0.31207,0.85464,4.46721,1.02704,0.000138878,0.000138878,0.000138878
5,52.6593,0.93015,1.71533,1.14755,0.4267,0.48386,0.5584,0.40484,0.91899,3.80447,1.09582,0.000172379,0.000172379,0.000172379
6,55.8014,0.93885,1.45532,1.13097,0.73108,0.54717,0.67985,0.52895,0.87113,2.35162,1.05763,0.000204612,0.000204612,0.000204612
7,58.3675,0.86034,1.29079,1.09943,0.79148,0.6569,0.72665,0.56236,0.88029,1.87137,1.11071,0.000235575,0.000235575,0.000235575
8,60.7822,0.88644,1.15456,1.09251,0.85843,0.69667,0.8031,0.63933,0.87923,1.51599,1.09406,0.00026527,0.00026527,0.00026527
9,63.2122,0.8538,1.08119,1.0555,0.87544,0.70392,0.8968,0.71,0.9573,1.35515,1.1254,0.000293696,0.000293696,0.000293696
10,66.0489,0.92967,1.05757,1.12248,0.87819,0.76047,0.90894,0.73364,0.81575,1.17322,1.00183,0.000320854,0.000320854,0.000320854
11,68.906,0.90482,0.97045,1.08302,0.89426,0.64829,0.93111,0.75911,0.83853,1.03423,1.02903,0.000346742,0.000346742,0.000346742
12,71.2252,0.85965,0.8637,1.03735,0.7657,0.9446,0.95013,0.76324,0.86765,0.85119,1.08019,0.000371362,0.000371362,0.000371362
13,73.6893,0.86106,0.87806,1.09231,0.91584,0.88213,0.95579,0.80723,0.77939,0.7262,0.9876,0.000394712,0.000394712,0.000394712
14,76.3003,0.86777,0.79955,1.06074,0.96359,0.89861,0.97678,0.82833,0.76422,0.62104,0.94202,0.000416794,0.000416794,0.000416794
15,79.5506,0.90022,0.87151,1.08891,0.92087,0.935,0.98876,0.81406,0.75537,0.61912,0.92496,0.000437607,0.000437607,0.000437607
16,82.325,0.82502,0.7479,1.04265,0.89686,0.90742,0.9795,0.75444,0.77821,0.73104,0.94623,0.000457151,0.000457151,0.000457151
